country_alpha_3_code,country,partner_management,partner_management_justification,hbv_screening_for_hbsag,hbv_screening_for_hbsag_justification,vaccination_for_hbv,vaccination_for_hbv_justification,vaccination_for_hpv,vaccination_for_hpv_justification,syphilis_screening,syphilis_screening_justification,ng_screening,ng_screening_justification,ct_screening,ct_screening_justification
ALB,Albania,ERR: yes (REF: no),"ALB HIV Guidelines ENG.pdf: Page 58, 'Counselling' section, last point: 'Assess intimate partner violence and gender based violence.'",yes,"ALB HIV Guidelines ENG.pdf: Page 54, 'Initial contact management' section: 'Look for basic creatinine, hematology, liver function, HCV, antiHBs and HBsAg and EIA for HIV.'; Page 57, 'Table 35: Summarization of Initial Assessment and Follow-up Following', 'HBsAg' row: 'At the beginning. If you vaccinate negatively. If positive, refer to your hepatologist and advise against stopping PrEP due to the risk of inflaming hepatitis.'",yes,"ALB HIV Guidelines ENG.pdf: Page 57, 'Table 35: Summarization of Initial Assessment and Follow-up Following', 'Review vaccinations' row: 'First (focus on HBV, HPV, HAV, DT)'",yes,"ALB HIV Guidelines ENG.pdf: Page 57, 'Table 35: Summarization of Initial Assessment and Follow-up Following', 'Review vaccinations' row: 'First (focus on HBV, HPV, HAV, DT)'",yes,"ALB HIV Guidelines ENG.pdf: Page 57, 'Table 35: Summarization of Initial Assessment and Follow-up Following', 'VDRL or RPR' row: 'First, and repeat every six months.'",yes,"ALB HIV Guidelines ENG.pdf: Page 57, 'Table 35: Summarization of Initial Assessment and Follow-up Following', 'CT/NG' row: 'Depending on availability, at the beginning and every 6 months (rectal PCR, tampon and urine).'",yes,"ALB HIV Guidelines ENG.pdf: Page 57, 'Table 35: Summarization of Initial Assessment and Follow-up Following', 'CT/NG' row: 'Depending on availability, at the beginning and every 6 months (rectal PCR, tampon and urine).'"
AND,Andorra,no,Justification not provided,yes,"AND PrEP Guidelines ENG.pdf: Page 6, 'Analytical determination' -> 'Sexually transmitted infections (STIs) screenings (see Table 1):' -> 'Hepatitis B (HBV)'; Page 7, Table 1 -> 'HBV' -> 'Anti HBs*, anti HBc and HBsAg serology'",yes,"AND PrEP Guidelines ENG.pdf: Page 5, 'Personal assessment of the candidate (clinical interview)' -> 'Vaccination against hepatitis A virus (HBV) and hepatitis B (HBV)'",yes,"AND PrEP Guidelines ENG.pdf: Page 5, 'Personal assessment of the candidate (clinical interview)' -> 'Vaccination ... and against human papillomavirus (HPV)'; Page 8, paragraph 1, 'HPV vaccination in MSM (men who have sex with other men) under the age of 26 is recommended'",yes,"AND PrEP Guidelines ENG.pdf: Page 6, 'Analytical determination' -> 'Sexually transmitted infections (STIs) screenings (see Table 1):' -> 'Syphilis'; Page 7, Table 1 -> 'Treponema pallidum'",yes,"AND PrEP Guidelines ENG.pdf: Page 6, 'Analytical determination' -> 'Sexually transmitted infections (STIs) screenings (see Table 1):' -> 'Gonorrhea'; Page 7, Table 1 -> 'Neisseria gonorrhoeae'",yes,"AND PrEP Guidelines ENG.pdf: Page 6, 'Analytical determination' -> 'Sexually transmitted infections (STIs) screenings (see Table 1):' -> 'Chlamydia'; Page 7, Table 1 -> 'Clamydia trachomatis'"
ARG,Argentina,yes,"Argentina PrEP Guía de directrices clínicas_Final.pdf: Page 20, paragraph under 'Sífilis': 'En caso de confirmarse infección por sífilis, se recomienda el tratamiento inmediato a la persona y su/s pareja/s de acuerdo a los algoritmos vigentes'. Page 20, paragraph under 'Gonorrea y clamidia': 'Debe realizarse el tratamiento precoz de las personas en quienes se detecte infección por clamidia y gonococo y su/s pareja/s'.",yes,"Argentina PrEP Guía de directrices clínicas_Final.pdf: Page 14, section 'Diagnóstico y tratamiento inicial de ITS': 'HBV en individuos no vacunados (incluyendo detección de... antígeno de superficie [HBsAg])'. Page 17, Table 6, row 'Test de hepatitis B': 'HBsAg (solo en individuos no vacunados)' is recommended at 'Basal', 'Al mes', and 'Trimestral'.",yes,"Argentina PrEP Guía de directrices clínicas_Final.pdf: Page 9, section '1.8. Inmunizaciones': 'Además de la vacunación contra la hepatitis B (HBV)... en las personas candidatas a recibir PrEP'. Page 14, section 'Inmunizaciones': 'Todas las personas que sean candidatas a PrEP... deben recibir inmunización contra HBV'.",yes,"Argentina PrEP Guía de directrices clínicas_Final.pdf: Page 9, section '1.8. Inmunizaciones': 'Es recomendable además la vacunación contra el virus del papiloma humano (VPH) en personas menores de 26 años que accedan a servicios de Prevención combinada'. Page 14, section 'Inmunizaciones': 'En personas menores de 26 años, debe considerarse la indicación de inmunización contra el VPH siguiendo las recomendaciones vigentes'.",yes,"Argentina PrEP Guía de directrices clínicas_Final.pdf: Page 12, Table 3, section 'Indispensable': 'Testeo y tratamiento de sífilis'. Page 14, section 'Diagnóstico y tratamiento inicial de ITS': 'Se recomienda en todos los casos el screening de sífilis'. Page 17, Table 6, row 'Test de sífilis.': Recommended at 'Basal' and 'Trimestral'.",yes,"Argentina PrEP Guía de directrices clínicas_Final.pdf: Page 12, Table 3, section 'Indispensable': 'Testeo y tratamiento de... gonorrea'. Page 14, section 'Diagnóstico y tratamiento inicial de ITS': 'se recomienda el screening de clamidia y gonorrea... a través de la realización de pruebas moleculares'. Page 17, Table 6, row 'Búsqueda de chlamydia y gonococo': Recommended at 'Basal' and 'Trimestral'.",yes,"Argentina PrEP Guía de directrices clínicas_Final.pdf: Page 12, Table 3, section 'Indispensable': 'Testeo y tratamiento de... chlamydia'. Page 14, section 'Diagnóstico y tratamiento inicial de ITS': 'se recomienda el screening de clamidia y gonorrea... a través de la realización de pruebas moleculares'. Page 17, Table 6, row 'Búsqueda de chlamydia y gonococo': Recommended at 'Basal' and 'Trimestral'."
ARM,Armenia,no,ARM PrEP Guidelines ENG.pdf: The document mentions identifying high-risk partners for PrEP eligibility but does not explicitly recommend partner testing or treatment for other STIs (excluding HIV).,yes,"ARM PrEP Guidelines ENG.pdf: Page 3, Section 9, point 3: 'clarify the status of hepatitis B if HBsAg is positive should be guided by the hepatitis B driving guide...'; Page 13, Table 'Hepatitis B (HBsAg)' listed under 'Tess' (Tests).",yes,"ARM PrEP Guidelines ENG.pdf: Page 3, Section 9, point 3: '...if HBsAg is negative, it is recommended to test and vaccinate anti-HBc'; Page 13, Table 'Hepatitis B (HBsAg)' row, 'Additional steps' column has 'Vaccinated If Negative'.",no,Justification not provided,yes,"ARM PrEP Guidelines ENG.pdf: Page 4, Section 9, point 5: 'it is desirable to perform other sexually transmitted infections (syphilis, chlamydia) infections, Gonococcus infection, hepatitis C (HIV))'.",yes,"ARM PrEP Guidelines ENG.pdf: Page 4, Section 9, point 5: 'it is desirable to perform other sexually transmitted infections...Gonococcus infection...'",yes,"ARM PrEP Guidelines ENG.pdf: Page 4, Section 9, point 5: 'it is desirable to perform other sexually transmitted infections (syphilis, chlamydia) infections...'"
AUS,Australia,yes,"PrEP-guidelines-sep-2019.pdf: Page 46, 'Testing for STIs' section, paragraph 1: 'Partner notification should be undertaken using the most appropriate available resources.'",yes,"PrEP-guidelines-sep-2019.pdf: Page 27, 'Assessment of hepatitis A, B and C status' section, paragraph 1: 'Hepatitis A, HBV and HCV infection status should be documented by screening serology when PrEP is initiated.' Page 43, Table 7.1: 'Hepatitis B serology' is recommended at 'Baseline (Week 0)'. Page 54, 'Patients with chronic active HBV infection' section, paragraph 3: 'All people who test positive for hepatitis B surface antigen (HBsAg) should be evaluated by a clinician experienced in the treatment of HBV infection.'",yes,"PrEP-guidelines-sep-2019.pdf: Page 27, 'Assessment of hepatitis A, B and C status' section, paragraph 2: 'Vaccination against hepatitis A and HBV is recommended for all susceptible priority populations, which include MSM, sex workers, people from countries with a high HIV, HBV or HCV prevalence, and their sexual partners and people who inject drugs (27, 28). Individuals identified at baseline as having undiagnosed chronic hepatitis B should be referred to a clinician experienced in the management of hepatitis B for treatment assessment.' Page 43, Table 7.1: 'Vaccinate if non-immune' for Hepatitis B serology at 'Baseline (Week 0)'.",no,Justification not provided,yes,"PrEP-guidelines-sep-2019.pdf: Page 23, 'Assessment and management of sexually transmissible infections at baseline' section, paragraph 1: 'Clinicians should screen for STIs (specifically gonorrhoea, chlamydia and infectious syphilis) using the standard-of-care tests and procedures'. Page 43, Table 7.1: 'STI (i.e. syphilis, gonorrhoea, chlamydia) as per Australian STI Management Guidelines' is recommended at 'Baseline (Week 0)' and 'Every subsequent 90 days on PrEP'. Page 44, Box 7.1: 'Test for sexually transmissible infections (STIs). This involves PCR tests for chlamydia (first-pass urine, pharyngeal swab and anal swab) and Neisseria gonorrhoea, (pharyngeal swab and anal swab) and a blood test for syphilis serology' 'At least every 3 months'.",yes,"PrEP-guidelines-sep-2019.pdf: Page 23, 'Assessment and management of sexually transmissible infections at baseline' section, paragraph 1: 'Clinicians should screen for STIs (specifically gonorrhoea, chlamydia and infectious syphilis) using the standard-of-care tests and procedures'. Page 43, Table 7.1: 'STI (i.e. syphilis, gonorrhoea, chlamydia) as per Australian STI Management Guidelines' is recommended at 'Baseline (Week 0)' and 'Every subsequent 90 days on PrEP'. Page 44, Box 7.1: 'Test for sexually transmissible infections (STIs). This involves PCR tests for chlamydia (first-pass urine, pharyngeal swab and anal swab) and Neisseria gonorrhoea, (pharyngeal swab and anal swab) and a blood test for syphilis serology' 'At least every 3 months'.",yes,"PrEP-guidelines-sep-2019.pdf: Page 23, 'Assessment and management of sexually transmissible infections at baseline' section, paragraph 1: 'Clinicians should screen for STIs (specifically gonorrhoea, chlamydia and infectious syphilis) using the standard-of-care tests and procedures'. Page 43, Table 7.1: 'STI (i.e. syphilis, gonorrhoea, chlamydia) as per Australian STI Management Guidelines' is recommended at 'Baseline (Week 0)' and 'Every subsequent 90 days on PrEP'. Page 44, Box 7.1: 'Test for sexually transmissible infections (STIs). This involves PCR tests for chlamydia (first-pass urine, pharyngeal swab and anal swab) and Neisseria gonorrhoea, (pharyngeal swab and anal swab) and a blood test for syphilis serology' 'At least every 3 months'."
AUT,Austria,yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: Page 26, 'Abstimmung des Leitlinien-Gesamttexts' section, last sentence: 'Eine Partner*innen-Mitbehandlung wird empfohlen.'",yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: Page 15, Empfehlung 1.6, third bullet point: 'Ausschluss einer replikativen Hepatitis-B-Infektion mittels Serologie (HBs-Antigen, anti-HBc-Antikörper)'; Page 19, Table 2.1, row 'Hepatitis B*': 'X' for 'VOR PrEP Beginn', and '*=antiHBsAk, HBsAg, antiHBcAk'.",yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: Page 15, Empfehlung 1.6, third bullet point: 'Prüfung der HBV-Immunität (HBs-Antikörper, ggfs. Impfung gegen HBV)'; Page 16, Kommentar for Empfehlung 1.7, second paragraph: 'Die Prüfung der HBV-Immunität bei Abwesenheit einer Infektion sollte Anlass zur Überprüfung des gesamten Impfstatus und ggfs. der Komplettierung des Impfschutzes auch bezüglich HAV bei MSM sein, insbesondere aufgrund von bekannten Ausbruchssituationen in Europa [17,18].'",no,Justification not provided,yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: Page 19, Table 2.1, row 'Lues-Serologie': 'X' for 'VOR PrEP Beginn' and 'Alle 3 Monate' for 'Während PrEP'; Page 21, Kommentar for Empfehlung 2.1, third paragraph: 'Dazu werden regelmäßige 3-monatliche serologische Untersuchungen auf Syphilis... empfohlen.'",yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: Page 19, Table 2.1, row 'Gonorrhoe-NAAT**': 'X' for 'VOR PrEP Beginn' and 'Alle 3-6 Monate' for 'Während PrEP', with '**pharyngeal, anorektal, genital'; Page 21, Kommentar for Empfehlung 2.1, third paragraph: 'Abstrichuntersuchungen bei asymptomatischen PrEP-Nutzer*innen auf Chlamydia trachomatis und Neisseria gonorrhoeae (pharyngeal, genital und anorektal; ggfs. pooling möglich) werden alle 3-6 Monate empfohlen.'",yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: Page 19, Table 2.1, row 'Chlamydien-NAAT**': 'X' for 'VOR PrEP Beginn' and 'Alle 3-6 Monate' for 'Während PrEP', with '**pharyngeal, anorektal, genital'; Page 21, Kommentar for Empfehlung 2.1, third paragraph: 'Abstrichuntersuchungen bei asymptomatischen PrEP-Nutzer*innen auf Chlamydia trachomatis und Neisseria gonorrhoeae (pharyngeal, genital und anorektal; ggfs. pooling möglich) werden alle 3-6 Monate empfohlen.'"
BHS,The Bahamas,no,"HIV PrEP GuidelinesSOP Bahamas.pdf: While 'intimate partner violence' is mentioned under Counselling (Page 4), it is not specified in the context of one partner having an STI (excluding HIV).",yes,"HIV PrEP GuidelinesSOP Bahamas.pdf: Baseline Hepatitis B screening (Page 2, Section 2.2) and Hepatitis B surface antigen (Table 1, Page 3)",yes,"HIV PrEP GuidelinesSOP Bahamas.pdf: If negative, consider vaccination against hepatitis B (Table 1, Page 3)",no,HIV PrEP GuidelinesSOP Bahamas.pdf: Not mentioned,yes,"HIV PrEP GuidelinesSOP Bahamas.pdf: Rapid plasma reagin (RPR) (Table 1, Page 3)",no,HIV PrEP GuidelinesSOP Bahamas.pdf: Only general STI screening is mentioned without specific pathogen for Neisseria gonorrhoeae,no,HIV PrEP GuidelinesSOP Bahamas.pdf: Only general STI screening is mentioned without specific pathogen for Chlamydia trachomatis
BRB,Barbados,yes,"Guidelines for PrEP for HIV Prevention in Barbados - Nov. 20, 2017.pdf: Page 15, Annex 3, 'Counselling' section, 'To assess intimate partner violence and gender-based violence.'",yes,"Guidelines for PrEP for HIV Prevention in Barbados - Nov. 20, 2017.pdf: Page 7, 'Key elements of PrEP services', point 6: 'Testing PrEP users for HBV surface antigen is desirable'; Page 15, Annex 3, 'Hepatitis B surface antigen' row",yes,"Guidelines for PrEP for HIV Prevention in Barbados - Nov. 20, 2017.pdf: Page 7, 'Key elements of PrEP services', point 6: 'HBV vaccination for those who are uninfected'; Page 15, Annex 3, 'Hepatitis B surface antigen' row, 'If negative, consider vaccination against hepatitis B.'",yes,"Guidelines for PrEP for HIV Prevention in Barbados - Nov. 20, 2017.pdf: Page 15, Annex 3, 'Review vaccination history' row, 'consider vaccination for human papilloma virus.'",yes,"Guidelines for PrEP for HIV Prevention in Barbados - Nov. 20, 2017.pdf: Page 15, Annex 3, 'Screening for Sexually Transmitted Infection (STIs)' row, 'To diagnose and treat STIs (Syphilis, Chlamydia and Gonorrhea)'; Page 16, Annex 4, 'At least every 12 months to', 'Conduct STI testing (syphilis, gonorrhea, chlamydia)'",yes,"Guidelines for PrEP for HIV Prevention in Barbados - Nov. 20, 2017.pdf: Page 15, Annex 3, 'Screening for Sexually Transmitted Infection (STIs)' row, 'To diagnose and treat STIs (Syphilis, Chlamydia and Gonorrhea)'; Page 16, Annex 4, 'At least every 12 months to', 'Conduct STI testing (syphilis, gonorrhea, chlamydia)'",yes,"Guidelines for PrEP for HIV Prevention in Barbados - Nov. 20, 2017.pdf: Page 15, Annex 3, 'Screening for Sexually Transmitted Infection (STIs)' row, 'To diagnose and treat STIs (Syphilis, Chlamydia and Gonorrhea)'; Page 16, Annex 4, 'At least every 12 months to', 'Conduct STI testing (syphilis, gonorrhea, chlamydia)'"
BLR,Belarus,no,"BLR HIV Guidelines ENG.pdf: The document identifies 'sexual partners of PLHIV who have not achieved viral suppression' as a high-risk group for PrEP (Page 16, Section 67), and mentions 'a new episode of sexually transmitted infection' as an indication for PrEP (Page 16, Section 74), but does not explicitly recommend partner management (testing, treatment, or contact tracing) in the context of STIs for PrEP users. Page 18, Section 82, advises the PrEP user to seek further medical examination for STIs and avoid unprotected sex, but does not specify partner management.",yes,"BLR HIV Guidelines ENG.pdf: Page 17, Section 75 states: 'Before prescribing PrEP, the following diagnostic measures are carried out: ... determination of HBsAg. A positive determination result is not a medical contraindication to PrEP, but requires additional medical examination to decide on the need for antiviral therapy for HBV infection'.",no,"BLR HIV Guidelines ENG.pdf: Page 26, Annex 5, item 15, mentions 'HBV vaccination is offered to seronegative people' within a general monitoring algorithm for HIV infection, but it is not explicitly stated as a recommendation for PrEP users at initiation or during PrEP use within the PrEP-specific chapter (Chapter 9) or sections dedicated to PrEP guidelines.",no,BLR HIV Guidelines ENG.pdf: No mention of Human Papillomavirus (HPV) vaccination recommendations for PrEP users.,ERR: yes (REF: no),"BLR HIV Guidelines ENG.pdf: Page 16, Section 74 states 'Determination of medical indications for the use of PrEP is carried out by interviewing on the basis of the presence of any of the factors at high risk of HIV infection over the past 6 months: ... a new episode of sexually transmitted infection (hereinafter referred to as STIs) (syphilis, gonorrhea, chlamydia)'. This implies screening for syphilis to determine PrEP indication. Page 18, Section 80, also notes 'examination for STIs' during PrEP monitoring.",ERR: yes (REF: no),"BLR HIV Guidelines ENG.pdf: Page 16, Section 74 states 'Determination of medical indications for the use of PrEP is carried out by interviewing on the basis of the presence of any of the factors at high risk of HIV infection over the past 6 months: ... a new episode of sexually transmitted infection (hereinafter referred to as STIs) (syphilis, gonorrhea, chlamydia)'. This implies screening for gonorrhea to determine PrEP indication. Page 18, Section 80, also notes 'examination for STIs' during PrEP monitoring.",ERR: yes (REF: no),"BLR HIV Guidelines ENG.pdf: Page 16, Section 74 states 'Determination of medical indications for the use of PrEP is carried out by interviewing on the basis of the presence of any of the factors at high risk of HIV infection over the past 6 months: ... a new episode of sexually transmitted infection (hereinafter referred to as STIs) (syphilis, gonorrhea, chlamydia)'. This implies screening for chlamydia to determine PrEP indication. Page 18, Section 80, also notes 'examination for STIs' during PrEP monitoring."
BEL,Belgium,no,Justification not provided,yes,"Belgian PrEP guidelines.pdf: Page 7, table, row 'HBV/HAV screening and immunization', column 'Before PrEP'; Page 8, table, row 'Hepatitis A/B screening and immunization' lists 'AgHBs, AcHBs, AcHBc, IgG HBA'.",yes,"Belgian PrEP guidelines.pdf: Page 7, table, row 'HBV/HAV screening and immunization'; Page 8, table, row 'Hepatitis A/B screening and immunization' explicitly includes 'immunization'.",no,Justification not provided,yes,"Belgian PrEP guidelines.pdf: Page 7, table, row 'Syphilis screening', column 'Before PrEP' and '3months later'; Page 8, table, row 'Syphilis screening' lists 'Screening +/- VDRL +/- TPHA'.",yes,"Belgian PrEP guidelines.pdf: Page 7, table, row 'Gonocoque and Chlamydia screening', column 'Before PrEP' and '3months later'; Page 8, table, row 'Screening gonocoque/chlamydia' lists 'PCR (throat, anus and first pass urine)'.",yes,"Belgian PrEP guidelines.pdf: Page 7, table, row 'Gonocoque and Chlamydia screening', column 'Before PrEP' and '3months later'; Page 8, table, row 'Screening gonocoque/chlamydia' lists 'PCR (throat, anus and first pass urine)'."
